id,author_id,name,country,gender,born,died,intro,pic_url,douban_pic_url,douban_author_url
25712811,361064,大卫·波德维尔 David Bordwell,美国,0,,,　　,,https://img3.doubanio.com/img/author/large/1507805524.13.jpg,https://book.douban.com/author/361064/
20392277,189766,梦情,中国,1,,,　　梦情，原名王河涛，80后代表作家之一。2002年越级加入河南省作家协会，同年被评为“全国十佳校园作家”之一。至今已经出版诗集《梦归何处》、散文集《困惑的童话》、评论集《独醒的灯》、小说《春水之死》等五部专着，创办过民间文学报《城乡地带》、《文坛之星》、《追梦人》等。主办过《校园风》、《科技教育》等正规刊物，另有同名小说《梦情》。,,https://img3.doubanio.com/img/author/large/1495863571.14.jpg,https://book.douban.com/author/189766/
2123050,4514785,哈耶克 Friedrich Hayek,英国,1,1899-05-08,1992-03-23,　　弗里德里希·奥古斯特·冯·哈耶克，CH（又译为海耶克，FriedrichAugustvonHayek，1899年5月8日－1992年3月23日）是奥地利出生的英国知名经济学家和政治哲学家。以坚持自由市场资本主义、反对社会主义、凯恩斯主义和集体主义而著称。,,https://img3.doubanio.com/img/author/large/1505899039.74.jpg,https://book.douban.com/author/4514785/
3738700,4512362,罗伯特·T·清崎,美国,0,,,　　,,https://img1.doubanio.com/img/author/large/1539615382.87.jpg,https://book.douban.com/author/4512362/
30175374,4609008,加布里埃尔·邓南遮,意大利,1,1863,1938,　　加布里埃尔·邓南遮（D'Annunzio，Gabriele）意大利诗人、小说家、剧作家。邓南遮是意大利文坛上的唯美派文学巨匠，也是当时政坛上可与墨索里尼并驾齐驱的人物。他“超人”的意志力、雄辩的口才、高雅的文采，私生活上的骄奢淫逸和对情欲的无节制的追求，使他成为当时欧洲风靡一时的“超凡”人物。主要作品有《玫瑰三部曲》(《欢乐》、《无辜者》和《死亡的胜利》)。,,https://img3.doubanio.com/img/author/large/ttis323hJJIcel_avatar_uploaded1521778990.56.jpg,https://book.douban.com/author/4609008/
1061155,4520213,王亚南,中国,1,1901-10,1969-11-13,　　王亚南(公元1901~1969年)，男，湖北省黄冈县王家坊村人(今湖北省黄冈市团风县)。著名现代经济学家。　　王亚南父母早逝，在兄长支持下他在黄州读完小学，毕业后考入武昌第一中学，又考入武昌中华大学教育系(华中师范大学前身)。大革命中，他投笔从戎，在长沙参加了北伐军，曾在军中任政治教员。大革命失败后，他从武昌东下上海、又辗转来到杭州，在这里，他的人生事业发生了重大转折。,,https://img3.doubanio.com/img/author/large/1520567771.04.jpg,https://book.douban.com/author/4520213/
1254362,659025,罗伯特·海因莱因 Robert Anson Heinlein,美国,1,1907-07-07,1988-05-08,　　罗伯特·安森·海因莱因（RobertAnsonHeinlein）1907年7月7日生于美国密苏里州的巴特拉市，曾就读于密苏里大学，1925年进入安那波利斯海军学院学习，毕业后作为航空母舰和驱逐舰的士官在海军服役五年。1934年因病复员。他一度在加利福尼亚大学洛杉矶分校攻读物理。第二次世界大战期间，他在费城海军航空试验所任工程师。被誉为“美国现代科幻小说之父”、“美国科幻空前绝后的优秀作家”、“美国科幻黄金时代四大才子之一”。海因莱因是美国著名科幻小说家，硬科幻小说大师，其代表作有《星际迷航》、《严厉的月亮》、《双星》、《银河系公民》、《银河行商》等。,,https://img3.doubanio.com/img/author/large/1492166863.96.jpg,https://book.douban.com/author/659025/
26942158,314567,罗伯特·C. 所罗门 Robert C. Solomon,美国,1,,,　　,,https://book.douban.com/author/314567/avatar,https://book.douban.com/author/314567/
3019938,4608677,拿破仑 Napoleon,法国,1,1769-08-15,1821-05-05,　　,,https://img3.doubanio.com/img/author/large/AklPj4Ce-1Qcel_avatar_uploaded1517564794.62.jpg,https://book.douban.com/author/4608677/
26949945,4503596,菲利普·科特勒 Philip Kotler,美国,1,,,　　菲利普·科特勒（PhilipKotler）（1931年5月27日－）是世界上市场行销学的权威之一，被誉为“现代营销学之父”。美国西北大学凯洛管理学院国际行销专业庄臣（S.C.Johnson）名誉教授，教授国际市场行销学。他曾获得芝加哥大学经济学硕士学位和麻省理工学院经济学博士学位，也曾在哈佛大学从事数学方面的博士後研究计划和在芝加哥大学从事行为科学方面的博士後研究工作。他着有55本市场行销书籍，其中包括《市场行销原理》丶《科特勒谈行销：怎麽创造市场丶赢得市场丶统治市场》及《行销革命3.0从产品到顾客，再到人文精神》。按照科特勒的描述，战略行销的作用是将「社会需求与工业模式联系起来」。科特勒现任美国管理科学联合市场行销学会主席丶美国市场行销协会理事丶行销科学学会托管人丶管理分析中心主任丶杨克罗维奇谘询委员会成员丶哥白尼谘询委员会成员。除此以外，他还是许多美国和外国大公司在行销战略和计划丶行销组织丶整合行销上的顾问。科特勒是将近二十本着作的作者，为《哈佛商业评论》丶《加州管理杂志》丶《管理科学》等专业管理杂志撰写了100馀篇论文，是唯一得过三次阿尔法·卡帕·普西奖的学者，获得美国市场行销学会和国际销售和行销管理者组织的奖项。他曾访问欧洲丶亚洲和南美，为许多公司讲课并提供指导。,,https://img3.doubanio.com/img/author/large/1508926864.44.jpg,https://book.douban.com/author/4503596/
